a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
0.84388,1.58338,0.38801,0.18666,7.42685,0.55216,-0.65722,5.84347,0.16414,0.43194,34.14613,0.02694
1.01854,0.77240,0.46338,0.31790,2.66530,0.63010,-0.70064,1.89290,0.16672,0.49090,3.58307,0.02780
1.41718,0.52717,0.44885,0.00000,0.00000,0.79063,-1.41718,-0.52716,0.34178,2.00840,0.27790,0.11681
1.56086,0.72881,0.33052,0.92874,0.91230,0.76003,-0.63211,0.18349,0.42951,0.39957,0.03367,0.18448
1.88835,1.17626,0.14530,1.22619,0.69100,0.35693,-0.66216,-0.48526,0.21164,0.43845,0.23548,0.04479
0.58214,1.00280,0.42114,0.06451,214.14991,0.51447,-0.51763,213.14711,0.09333,0.26794,45431.69022,0.00871
1.87978,1.01952,0.23878,0.35092,3.95046,0.62097,-1.52886,2.93094,0.38219,2.33743,8.59039,0.14607
0.71129,0.76458,0.29935,0.14114,6.00317,0.40983,-0.57014,5.23859,0.11048,0.32506,27.44284,0.01221
1.44840,0.51964,0.36541,0.33284,4.16498,0.93170,-1.11555,3.64534,0.56628,1.24446,13.28848,0.32068
1.25329,1.39308,0.12683,0.26142,5.30297,0.41541,-0.99187,3.90989,0.28858,0.98382,15.28723,0.08328
0.78603,0.55482,0.28883,0.49679,0.81616,0.37437,-0.28924,0.26134,0.08554,0.08366,0.06830,0.00732
1.10114,1.33946,0.16210,0.10902,20.15466,0.24683,-0.99213,18.81520,0.08474,0.98432,354.01166,0.00718
1.11310,0.53808,0.16246,0.70559,0.57465,0.28043,-0.40752,0.03657,0.11797,0.16607,0.00134,0.01392
0.84661,1.50784,0.10788,0.08725,25.18291,0.26595,-0.75936,23.67508,0.15807,0.57663,560.50921,0.02498
0.85727,0.64916,0.19727,0.00000,0.00000,0.39892,-0.85727,-0.64916,0.20165,0.73492,0.42141,0.04066
1.50213,0.80748,0.21726,1.28261,0.31612,0.34743,-0.21952,-0.49135,0.13017,0.04819,0.24143,0.01694
1.83901,1.72617,0.23673,0.58825,23.48595,0.57668,-1.25076,21.75979,0.33995,1.56441,473.48827,0.11557
1.43622,1.11412,0.32082,0.27993,7.84920,0.54856,-1.15629,6.73508,0.22774,1.33702,45.36130,0.05187
0.71017,1.80270,0.29497,0.24022,1.68792,0.38932,-0.46995,-0.11479,0.09435,0.22086,0.01318,0.00890
0.90302,1.31245,0.35339,0.12064,18.21307,0.59582,-0.78238,16.90062,0.24243,0.61211,285.63100,0.05877
1.28854,0.75752,0.20892,0.24604,56.15210,0.57372,-1.04250,55.39458,0.36479,1.08680,3068.55974,0.13307
1.47713,1.74461,0.18257,0.36177,38.18914,0.58832,-1.11537,36.44453,0.40575,1.24404,1328.20357,0.16464
1.49756,0.76306,0.46576,0.44940,3.08478,1.05462,-1.04816,2.32173,0.58885,1.09864,5.39041,0.34675
0.74943,1.60705,0.13312,0.12750,6.64556,0.17981,-0.62193,5.03851,0.04669,0.38679,25.38662,0.00218
1.03351,1.57857,0.21885,0.27080,5.11919,0.34653,-0.76271,3.54062,0.12768,0.58172,12.53600,0.01630
1.59886,0.82241,0.11247,0.30435,7.21947,0.61330,-1.29451,6.39706,0.50083,1.67576,40.92232,0.25083
1.39526,1.00137,0.40836,0.43934,31.44594,0.83464,-0.95592,30.44457,0.42627,0.91379,926.87188,0.18171
1.53260,1.15224,0.19856,0.42960,3.22690,0.59066,-1.10300,2.07466,0.39210,1.21661,4.30421,0.15374
1.38535,1.04146,0.13663,0.66612,0.60870,0.53787,-0.71923,-0.43276,0.40124,0.51729,0.18728,0.16099
1.80942,1.59834,0.42262,0.35214,6.23964,0.88036,-1.45728,4.64131,0.45773,2.12367,21.54171,0.20952
1.23414,0.83181,0.49507,0.00000,0.00000,0.88643,-1.23414,-0.83181,0.39137,1.52310,0.69191,0.15317
1.54613,0.94602,0.46976,1.17683,0.34454,0.65504,-0.36930,-0.60148,0.18528,0.13638,0.36178,0.03433
1.76682,0.97865,0.43157,0.42010,32.88588,1.16164,-1.34672,31.90723,0.73008,1.81365,1018.07141,0.53301
0.61543,1.54443,0.23595,0.19999,2.02745,0.32547,-0.41544,0.48302,0.08952,0.17259,0.23331,0.00801
1.68608,0.97813,0.35036,0.46864,1.80797,0.81900,-1.21744,0.82984,0.46864,1.48216,0.68864,0.21962
1.80515,0.53190,0.44988,0.79534,1.06532,1.17067,-1.00980,0.53342,0.72079,1.01970,0.28453,0.51954
1.44126,1.81052,0.49363,0.12424,17.68584,0.94733,-1.31702,15.87532,0.45369,1.73455,252.02582,0.20584
0.85817,0.66571,0.24185,0.16588,5.10792,0.33366,-0.69229,4.44221,0.09181,0.47926,19.73321,0.00843
0.52681,1.98158,0.27111,0.03879,35.73542,0.32208,-0.48802,33.75384,0.05097,0.23816,1139.32157,0.00260
1.67952,0.63412,0.26703,1.50957,0.26860,0.46198,-0.16994,-0.36552,0.19495,0.02888,0.13361,0.03801
0.75055,1.98675,0.19267,0.36130,1.12224,0.30004,-0.38925,-0.86452,0.10737,0.15152,0.74739,0.01153
0.84600,0.76479,0.18819,0.12045,11.50911,0.42988,-0.72555,10.74432,0.24169,0.52643,115.44031,0.05841
1.95365,1.82568,0.47110,0.32076,4.32191,1.08534,-1.63290,2.49623,0.61424,2.66635,6.23116,0.37729
1.54403,0.73084,0.42633,0.35952,6.11153,0.78246,-1.18451,5.38069,0.35612,1.40307,28.95182,0.12682
1.37013,0.63723,0.45098,0.40975,3.38325,0.68558,-0.96038,2.74602,0.23460,0.92233,7.54065,0.05504
0.63048,1.11268,0.24908,0.07770,17.84130,0.36976,-0.55278,16.72862,0.12069,0.30556,279.84676,0.01457
0.83027,1.52489,0.13045,0.28480,1.42368,0.33179,-0.54548,-0.10121,0.20134,0.29754,0.01024,0.04054
1.02171,1.51702,0.32629,0.14668,14.97993,0.55425,-0.87504,13.46290,0.22796,0.76569,181.24979,0.05197
1.77587,1.80094,0.38335,0.33143,6.62950,0.92619,-1.44444,4.82856,0.54284,2.08641,23.31495,0.29468
1.62907,0.73791,0.45235,1.12312,0.36101,0.67945,-0.50595,-0.37689,0.22710,0.25599,0.14205,0.05157
0.74114,1.72695,0.43285,0.09874,14.04007,0.55778,-0.64240,12.31312,0.12492,0.41268,151.61285,0.01561
0.88971,1.45101,0.31599,0.18657,4.54150,0.49379,-0.70314,3.09049,0.17779,0.49440,9.55115,0.03161
1.94449,1.01281,0.35305,0.87046,0.97339,0.82038,-1.07403,-0.03942,0.46733,1.15353,0.00155,0.21839
1.56226,0.60103,0.33287,0.47840,2.89779,0.78278,-1.08386,2.29676,0.44991,1.17476,5.27512,0.20242
1.96023,1.95332,0.39986,0.40308,34.27523,1.03479,-1.55716,32.32191,0.63493,2.42474,1044.70596,0.40313
1.16885,0.91044,0.49885,0.24283,5.70896,0.70124,-0.92603,4.79852,0.20239,0.85753,23.02583,0.04096
1.54052,0.83115,0.13295,0.75791,1.11794,0.35243,-0.78262,0.28679,0.21948,0.61249,0.08225,0.04817
0.72659,1.14850,0.47745,0.21523,3.93669,0.55223,-0.51136,2.78819,0.07478,0.26149,7.77401,0.00559
1.97597,1.11400,0.45764,0.93544,14.76902,0.92299,-1.04053,13.65502,0.46535,1.08270,186.45965,0.21655
1.20981,1.95229,0.17421,0.23052,6.01364,0.46227,-0.97929,4.06135,0.28806,0.95901,16.49455,0.08298
1.64154,1.43933,0.15250,0.52813,26.15914,0.63652,-1.11340,24.71981,0.48402,1.23967,611.06884,0.23427
1.22228,0.67596,0.15007,0.77895,0.52052,0.23141,-0.44333,-0.15544,0.08133,0.19654,0.02416,0.00661
0.59631,1.37296,0.20760,0.11555,3.50895,0.27895,-0.48076,2.13600,0.07135,0.23113,4.56249,0.00509
0.60867,1.08874,0.29198,0.15933,2.54484,0.39854,-0.44934,1.45610,0.10656,0.20191,2.12022,0.01136
1.66978,0.55943,0.29220,0.30308,7.24965,0.92530,-1.36670,6.69022,0.63310,1.86786,44.75903,0.40081
1.55370,1.33947,0.10391,0.27583,7.96571,0.44582,-1.27786,6.62624,0.34191,1.63293,43.90705,0.11690
0.54980,0.61787,0.25877,0.07174,19.32496,0.36719,-0.47807,18.70709,0.10842,0.22855,349.95532,0.01175
0.80023,0.75122,0.14183,0.40584,0.99906,0.32893,-0.39438,0.24784,0.18710,0.15554,0.06142,0.03501
1.57113,1.70259,0.23578,0.24569,8.94303,0.74978,-1.32544,7.24043,0.51400,1.75679,52.42388,0.26420
