a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,1.58005,1.46172,0.37758,0.27081,8.32321,0.80165,-1.30924,6.86149,0.42407,1.71411,47.08004,0.17984
4000.00000,1.37509,1.10128,0.28480,0.30629,5.35352,0.66558,-1.06880,4.25224,0.38078,1.14232,18.08156,0.14499
4000.00000,0.52717,1.80819,0.47285,0.07364,12.85827,0.53642,-0.45352,11.05008,0.06357,0.20568,122.10434,0.00404
4000.00000,1.36443,1.41007,0.26965,0.24829,7.42933,0.62918,-1.11614,6.01926,0.35952,1.24576,36.23145,0.12926
4000.00000,0.58214,1.00280,0.42114,0.13632,4.45241,0.49993,-0.44582,3.44962,0.07879,0.19875,11.89986,0.00621
4000.00000,1.01952,1.02043,0.39500,0.25515,3.96303,0.61528,-0.76437,2.94260,0.22028,0.58426,8.65891,0.04852
4000.00000,1.24755,1.12839,0.46594,0.27706,5.10594,0.78060,-0.97049,3.97755,0.31466,0.94185,15.82094,0.09901
4000.00000,0.72299,1.12194,0.13414,0.17202,4.41525,0.24980,-0.55097,3.29332,0.11566,0.30357,10.84593,0.01338
4000.00000,0.80771,0.78603,0.11462,0.25103,2.50979,0.26001,-0.55667,1.72376,0.14539,0.30989,2.97135,0.02114
4000.00000,1.10114,1.33946,0.16210,0.20211,7.56152,0.41099,-0.89904,6.22206,0.24889,0.80827,38.71401,0.06195
4000.00000,1.46600,1.11310,0.11015,0.32422,5.17223,0.53127,-1.14178,4.05913,0.42112,1.30366,16.47652,0.17734
4000.00000,0.84661,1.50784,0.10788,0.13476,9.86556,0.26317,-0.71186,8.35772,0.15528,0.50674,69.85148,0.02411
4000.00000,0.64916,0.86476,0.38891,0.18307,3.11330,0.48255,-0.46610,2.24854,0.09365,0.21724,5.05594,0.00877
4000.00000,0.51950,0.62826,0.18315,0.20419,1.65116,0.23827,-0.31531,1.02289,0.05511,0.09942,1.04631,0.00304
4000.00000,1.72617,1.01273,0.20377,0.41882,4.18398,0.77358,-1.30734,3.17126,0.56981,1.70914,10.05687,0.32468
4000.00000,1.32807,1.15419,0.21779,0.27737,5.86549,0.57739,-1.05070,4.71130,0.35960,1.10396,22.19636,0.12931
4000.00000,1.13782,0.53370,0.20747,0.53697,1.11610,0.44903,-0.60085,0.58240,0.24155,0.36102,0.33919,0.05835
4000.00000,1.97660,1.28854,0.16867,0.38735,6.46726,0.78630,-1.58925,5.17872,0.61763,2.52572,26.81918,0.38146
4000.00000,1.47713,1.74461,0.18257,0.21507,12.06314,0.54532,-1.26206,10.31853,0.36276,1.59280,106.47203,0.13159
4000.00000,0.76306,1.87162,0.26751,0.10218,13.97016,0.38973,-0.66088,12.09854,0.12222,0.43676,146.37464,0.01494
4000.00000,0.86802,1.08394,0.21548,0.19331,4.95642,0.38367,-0.67471,3.87248,0.16819,0.45523,14.99609,0.02829
4000.00000,1.49551,1.90524,0.39303,0.19320,14.57197,0.73911,-1.30230,12.66672,0.34608,1.69600,160.44584,0.11977
4000.00000,1.24455,1.39526,0.23370,0.21946,8.09414,0.53716,-1.02508,6.69888,0.30347,1.05080,44.87497,0.09209
4000.00000,1.53260,1.15224,0.19856,0.34339,4.96102,0.63520,-1.18921,3.80878,0.43664,1.41423,14.50679,0.19066
4000.00000,1.87597,0.70523,0.48009,0.67823,1.90073,1.15962,-1.19774,1.19550,0.67953,1.43459,1.42922,0.46176
4000.00000,1.70984,1.48818,0.37691,0.28830,8.66455,0.84486,-1.42154,7.17638,0.46794,2.02079,51.50036,0.21897
4000.00000,1.91609,0.55914,0.38223,0.89695,1.13019,1.04451,-1.01914,0.57105,0.66228,1.03864,0.32610,0.43861
4000.00000,1.54613,0.94602,0.46976,0.40956,3.61242,0.94096,-1.13657,2.66640,0.47120,1.29179,7.10970,0.22203
4000.00000,0.55551,1.39440,0.19200,0.10170,7.55919,0.26207,-0.45381,6.16479,0.07006,0.20595,38.00460,0.00491
4000.00000,0.59803,0.97294,0.31580,0.14647,4.19648,0.39854,-0.45157,3.22354,0.08274,0.20391,10.39122,0.00685
4000.00000,0.84944,0.53660,0.44804,0.35302,1.45610,0.59651,-0.49642,0.91950,0.14847,0.24644,0.84548,0.02204
4000.00000,1.99690,1.02607,0.40688,0.48904,4.17278,1.12103,-1.50786,3.14671,0.71415,2.27365,9.90177,0.51001
4000.00000,1.65241,1.12665,0.26854,0.35733,5.39485,0.77792,-1.29508,4.26820,0.50938,1.67723,18.21755,0.25947
4000.00000,0.94446,0.85041,0.11684,0.25489,3.42279,0.30806,-0.68958,2.57238,0.19123,0.47551,6.61714,0.03657
4000.00000,0.82738,1.92494,0.41454,0.10566,15.31199,0.55857,-0.72172,13.38705,0.14403,0.52088,179.21307,0.02075
4000.00000,1.98675,0.84751,0.47709,0.59161,2.80292,1.19475,-1.39515,1.95541,0.71766,1.94644,3.82364,0.51503
4000.00000,0.83073,0.77966,0.41183,0.27407,2.25869,0.55957,-0.55666,1.47904,0.14774,0.30987,2.18755,0.02183
4000.00000,1.54403,0.73084,0.42633,0.53627,2.09114,0.91712,-1.00777,1.36030,0.49079,1.01559,1.85040,0.24087
4000.00000,0.63723,1.81619,0.20624,0.08570,14.14831,0.29675,-0.55153,12.33212,0.09051,0.30418,152.08113,0.00819
4000.00000,0.63048,1.11268,0.24908,0.13706,5.30762,0.33904,-0.49342,4.19494,0.08996,0.24346,17.59755,0.00809
4000.00000,1.52489,0.61420,0.44048,0.63115,1.46122,0.89797,-0.89374,0.84703,0.45749,0.79877,0.71745,0.20930
4000.00000,1.51702,1.34860,0.20681,0.28404,7.16712,0.62738,-1.23298,5.81852,0.42057,1.52025,33.85516,0.17688
4000.00000,1.54621,1.52021,0.34744,0.25058,9.54748,0.75471,-1.29562,8.02727,0.40727,1.67864,64.43704,0.16587
4000.00000,0.74114,1.72695,0.43285,0.10882,11.27353,0.55267,-0.63232,9.54658,0.11982,0.39983,91.13727,0.01436
4000.00000,1.44772,0.88971,0.35360,0.40403,3.19799,0.78103,-1.04369,2.30828,0.42743,1.08929,5.32818,0.18269
4000.00000,1.94449,1.01281,0.35305,0.49226,3.82603,1.03210,-1.45223,2.81322,0.67905,2.10898,7.91422,0.46111
4000.00000,0.95145,1.56226,0.12694,0.15516,9.32459,0.31281,-0.79629,7.76233,0.18587,0.63408,60.25372,0.03455
4000.00000,1.96023,1.95332,0.39986,0.24611,15.97178,0.87221,-1.71413,14.01846,0.47235,2.93823,196.51732,0.22311
4000.00000,1.52494,1.16885,0.20945,0.33394,5.21199,0.65513,-1.19100,4.04313,0.44568,1.41849,16.34693,0.19863
4000.00000,0.62357,1.52075,0.36180,0.09758,10.15425,0.44987,-0.52599,8.63350,0.08807,0.27667,74.53734,0.00776
4000.00000,1.12959,1.45779,0.25904,0.18981,8.95482,0.51688,-0.93978,7.49703,0.25784,0.88319,56.20547,0.06648
4000.00000,0.81966,0.54670,0.36067,0.35602,1.32746,0.49583,-0.46364,0.78076,0.13517,0.21496,0.60958,0.01827
4000.00000,1.80293,1.66490,0.40837,0.27143,11.61378,0.89478,-1.53151,9.94888,0.48641,2.34552,98.98023,0.23659
4000.00000,0.67596,0.68778,0.37423,0.25959,1.69079,0.46879,-0.41637,1.00301,0.09457,0.17337,1.00604,0.00894
4000.00000,0.90349,1.69634,0.22414,0.13500,10.97132,0.39161,-0.76849,9.27498,0.16747,0.59057,86.02520,0.02804
4000.00000,1.40003,0.93749,0.37799,0.36480,3.69425,0.77756,-1.03523,2.75676,0.39957,1.07170,7.59973,0.15965
4000.00000,0.71374,1.24833,0.34726,0.14698,5.87032,0.46039,-0.56676,4.62199,0.11313,0.32122,21.36281,0.01280
4000.00000,0.54980,0.61787,0.25877,0.20826,1.75761,0.32385,-0.34155,1.13974,0.06508,0.11666,1.29901,0.00424
4000.00000,0.75122,0.65685,0.35457,0.32711,1.31616,0.46974,-0.42412,0.65931,0.11517,0.17987,0.43469,0.01326
4000.00000,1.57113,1.70259,0.23578,0.23348,11.36652,0.62930,-1.33765,9.66393,0.39352,1.78930,93.39145,0.15486
4000.00000,1.17848,1.46537,0.31056,0.19568,9.18176,0.58006,-0.98279,7.71640,0.26949,0.96588,59.54279,0.07263
